title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Mary Shelleys Frankenstein,6.4,36298,7380,1994,0,11,51,1320,238,3
Freaked,6.2,4206,5160,1993,2,4,6,35,63,2
Alone with Dad &amp; Co.,4.5,5210,6540,1994,0,0,11,4,16,3
Greedy - Heirs wants to be learned,6.2,8832,6780,1994,0,0,21,6,30,1
Tess and her bodyguard,6.1,10794,5760,1994,0,0,14,24,37,1
Heavenly creatures,7.5,43269,5940,1994,17,7,37,241,252,3
Daffy Duck and the Dinosaur,6.8,397,480,1939,0,0,7,0,13,3
Highlander III - The Legend,4.2,13448,5940,1994,0,0,23,7,76,3
Master of the Shaolin,6.3,3657,5700,1994,0,0,13,0,33,3
Hope Dreams,8.3,15024,10200,1994,18,4,48,471,68,3
IQ - love is relative,6.2,17534,6000,1994,0,0,13,17,73,2
Iron Will - The will to win,6.5,5036,6480,1994,0,0,16,3,31,1
$ 2 million tip,6.3,23042,6060,1994,0,0,37,30,68,3
Victim of a great love,7.6,6183,5760,1939,1,0,13,67,71,2
Kabhi Haan Kabhi Naa,8.5,8971,9480,1994,2,1,0,0,17,3
Kickboxer 4: The Aggressor,3.9,2140,5400,1994,0,0,4,2,32,3
Killing Zoe,6.5,15751,5760,1993,2,1,18,41,90,3
Lassie - Friends for Life,5.8,3038,5640,1994,1,1,17,18,18,2
The last seduction,7.2,12959,6600,1994,11,5,11,46,115,3
Legends of passion,7.5,87495,7980,1994,1,8,93,211,314,3
Leprechaun II - The killer cop returns,4.2,4834,5100,1994,0,0,14,19,70,3
Little coach really big,6,6642,7140,1994,0,0,21,14,24,3
The big bluff,7.7,6596,5640,1939,1,0,42,25,58,2
Little giants,6.2,15511,6420,1994,0,0,12,32,36,3
Little Odessa - ice cold as death,6.8,4818,5880,1994,3,6,11,43,38,2
Betty and her sisters,7.3,30612,6900,1994,5,13,50,145,130,2
Main khiladi tu anari,6.4,1189,10500,1994,0,0,0,0,4,2
The Indians of Cleveland II,5.4,17412,6300,1994,0,0,11,14,44,2
At war with Major Payne,6,17908,5700,1995,0,0,18,6,51,1
Lord of the Wild West,7.2,2730,6780,1939,0,0,15,67,43,1
The wonder of Manhattan,6.3,15823,6840,1994,0,0,27,43,62,2
Mohra,6.8,1663,10620,1994,0,0,2,29,14,3
The monster,7.5,6224,6720,1994,1,0,4,2,30,3
Music for the Movies: Tôru TakemitsuTV Movie ,8.1,48,3480,1994,0,0,0,0,1,2
Dumb witness,6.8,3848,5700,1994,3,3,7,11,59,2
My Girl 2 - My big love,5,12439,5940,1994,1,2,23,9,38,3
The naked cannon 33 1/3,6.4,61818,4980,1994,3,0,29,2,76,3
The Face at the Window,6.2,185,4200,1939,0,0,2,0,13,2
The Neverending Story III - Rescue from Fantasies,3,7024,5700,1994,0,0,4,5,88,3
Escape from Absolom,6,13918,7080,1994,0,0,30,76,51,3
North,4.4,10082,5220,1994,1,10,6,0,96,3
On burning ice,4.2,15038,6060,1994,1,6,33,36,131,3
The Pagemaster - Richie&#39;s fantastic journey,5.8,12472,4800,1994,0,0,15,13,38,3
Police Academy 7 - Mission in Moscow,3.1,21296,4980,1994,0,0,5,15,102,2
Prince of Jutland,5.9,1402,6180,1994,0,0,12,5,26,2
Princess Caraboo,5.9,1985,5820,1994,0,0,28,2,25,3
Rave Review,4.5,20,5520,1994,0,0,0,0,0,2
Reality bites - full of life,6.6,30403,5940,1994,1,1,28,352,141,3
The Bartholomew night,7.5,11718,9540,1994,9,12,8,59,52,3
At the wild river,6.3,27812,6480,1994,0,2,48,60,67,3
gaslight,7.5,2178,5040,1940,0,0,0,0,54,2
Puppet Masters - Threat from space,5.8,6069,6540,1994,0,0,16,16,57,3
Romeo & JulietTV Movie ,7.1,43,4860,1994,0,0,2,0,3,2
Serial Mom - Why does not mom let the killing?,6.6,17826,5700,1994,0,0,15,78,99,3
Shadow and the curse of the Khan,5.9,16100,6480,1994,0,0,35,111,135,3
The murder of innocent children,5.2,707,6240,1993,0,0,5,4,18,3
The Specialist,5.4,39922,6600,1994,3,4,43,36,105,2
The sum of the feelings,7.4,3863,6000,1994,6,5,11,8,66,2
Kill him!,6.1,7199,5760,1994,0,0,20,26,53,3
Satan Tango,8.5,4802,27000,1994,2,0,2,35,44,2
The tit and the moon,6.5,2063,5400,1994,2,3,3,0,12,2
That's Entertainment! III,7.6,896,7200,1994,0,0,10,0,26,3
Snowstorm in paradise,5.9,8358,6660,1994,0,0,8,10,41,3
Trollsyn,6.8,87,5580,1994,1,0,0,0,4,1
Drunken Master,7.6,28835,6120,1994,3,1,20,29,140,2
Freddy's New Nightmare,6.4,29936,6720,1994,1,5,27,252,248,3
Wolf - The animal in the man,6.1,37412,7500,1994,2,6,43,2,129,3
Wyatt Earp - The Life of a Legend,6.6,27960,11460,1994,3,4,32,85,129,3
Wing Chun,7.1,2243,5760,1994,0,0,8,141,32,3
Across the olive grove,7.8,2821,6180,1994,7,3,4,18,15,1
Back in Hollywood,6.5,242,5820,1939,0,0,3,0,14,3
Tom and Huck,5.7,6027,5820,1995,1,5,11,26,18,3
Idiot's Delight,6.6,771,6420,1939,0,0,2,0,33,3
Little Panda,5.7,2499,5040,1995,0,0,26,2,12,3
Angels and insects,6.9,3493,6960,1995,2,2,11,6,63,2
Assassins - Die Killer,6.2,50681,7920,1995,0,0,31,120,70,3
Attack of the pacifier brigade,5.6,3696,5640,1995,2,1,37,13,36,3
Bad Boys - Hard guys,6.8,129852,7080,1995,1,3,66,796,191,3
The Delicious Little Devil,7.2,638,3780,1919,0,0,0,0,12,2
An unbeatable team,5.4,5596,6000,1995,0,0,28,25,23,3
Bikini Drive-In,3.2,484,5160,1995,0,0,0,0,9,1
Billy Madison - A chaot to fall in love with,6.4,83884,5340,1995,0,0,47,230,193,1
Bloodsport 2 - the next challenge,4.7,2046,5400,1996,0,0,13,8,15,2
Die Brady Family,5.8,15280,5400,1995,0,0,18,66,90,1
Carnosaurus - Attack of the Raptors,3.1,1242,4980,1995,0,0,4,8,39,3
Caught in the dream factory,7.7,4475,6120,1995,6,4,13,96,45,2
Jesse James - man without law,7.1,2507,6360,1939,0,0,9,13,42,3
New Zealand: cinema of unrest,6.4,104,3120,1995,0,0,0,0,4,2
Wallace &amp; Gromit among sheep,8.3,24229,1800,1995,18,0,16,71,48,3
Clueless - What else!,6.7,88223,5820,1995,7,9,60,1129,231,2
Congo - Where man becomes an endangered species,4.9,29521,6540,1995,2,11,29,76,140,3
Crimson Tide - In deepest danger,7.3,67540,6960,1995,5,6,46,411,188,3
Curtis's Charm,5,185,4440,1995,2,1,0,0,2,2
The day is breaking,7.8,3473,5160,1939,0,0,7,23,23,3
The pirate bride,5.6,18295,7440,1995,0,0,47,105,164,3
Dao,7.2,2072,6300,1995,1,2,4,21,35,2
Dead Man Walking - His last course,7.6,63234,7320,1995,20,15,56,305,174,2
100 years of cinema: Twice 50 years of French cinemaTV Movie,6.8,221,3060,1995,0,0,0,0,4,1
Dilwale dulhania le jayenge,8.4,25731,11340,1995,11,0,7,179,94,2
the little Princess,7.3,3395,5580,1939,0,0,42,43,41,3
Dracula - Dead but happy,5.7,24019,5280,1995,0,0,14,62,122,3
Fallen Angels,7.7,12381,5760,1995,8,6,17,73,69,3
The Day of the Beast,7.6,9917,6180,1995,15,11,14,5,52,3
The Empire Team,6.7,32109,5400,1995,1,0,27,130,264,3
A Gift from Heaven - Father of the Bride 2,5.8,22042,6360,1995,1,1,26,13,60,1
My blooming secret,7.1,6658,6180,1995,4,12,17,7,21,1
New Year&#39;s Eve in foreign beds,6.7,62737,5880,1995,1,1,24,107,165,1
Free Willy 2 - freedom in danger,4.8,10870,5700,1995,1,0,28,3,16,3
French Kiss,6.5,32910,6660,1995,0,0,39,83,112,3
An ideal couple,6.5,1872,5520,1939,0,0,40,3,42,3
Friday,7.3,55953,5460,1995,0,0,43,4,148,2
Future WarVideo ,1.7,3325,5400,1997,0,0,0,13,115,3
Gei ba ba de xin,6.6,3457,6240,1995,0,0,15,3,21,1
Get Shorty,6.9,55224,6300,1995,6,12,79,461,142,3
Gonin,7,1705,6540,1995,0,0,4,5,22,3
The third spring,6.5,16124,6060,1995,2,1,30,16,49,2
Halloween - The curse of Michael Myers,4.9,15934,5280,1995,0,0,17,73,311,2
An eerie family to the screaming TV movie,4.9,350,5760,1995,0,0,4,0,10,3
Hell is loose in the Bronx,6.7,23066,6240,1995,2,7,44,48,74,3
One and one makes four,5.6,12413,6060,1995,1,3,11,304,43,3
Ninotschka,8,11889,6600,1939,4,0,7,32,75,2
networked,5.5,49134,5760,1995,1,3,62,66,124,2
Jumanji,6.8,140562,6240,1995,4,8,84,195,132,3
Chaos! Son in law Junior in the courtroom,3.9,5481,5280,1995,1,0,21,33,35,1
Karan Arjun,7,6180,10500,1995,0,0,0,0,15,3
Knightskater - Knight on Rollerblades,4.7,3831,5340,1995,0,0,14,6,16,3
Kids,7,48529,5460,1995,1,4,30,461,395,2
Of mice and humans,7.7,3687,6360,1939,1,0,4,28,52,1
The head of the Mohren,7.1,88,7200,1995,1,1,0,0,1,2
Last Supper - The hangman&#39;s meal,6.8,11125,5520,1995,1,1,16,132,107,3
Peking ExpressTV Movie ,5.6,966,6060,1995,0,0,8,4,17,3
Libertarians,7.1,1022,7500,1996,2,7,0,0,8,3
Living in Oblivion - Totally turned off,7.5,11088,5400,1995,7,6,19,38,72,2
Liz Taylor StoryTV Movie ,6.5,242,12600,1995,0,1,0,0,8,2
Lord of Illusions,6,9426,6540,1995,2,1,40,70,60,3
Love Letter,8,3870,7020,1995,14,3,0,0,41,2
The light of illusion,7.7,2180,6600,1995,9,1,8,14,35,1
Mall Rats,7.2,84822,5640,1995,0,0,34,299,430,2
Wretched,7.5,2993,10500,1995,5,2,7,3,39,2
Don't Change Your Husband,8,861,4260,1919,0,0,0,0,21,1
Money Train,5.5,27590,6600,1995,0,0,44,49,55,3
Mr. Holland's Opus,7.3,26911,8580,1995,5,4,36,63,147,2
Nine months,5.4,25308,6180,1995,0,0,19,188,94,2
Now &amp; Then - then and now,6.7,18333,6000,1995,0,0,23,211,122,2
On Your Mark,7.7,2502,420,1995,0,0,0,0,19,3
Once Upon a Time... When We Were Colored,7.3,389,6900,1995,2,2,13,0,7,2
girls dealer,6.9,113,6660,1939,0,0,5,0,1,3
Othello,7,6378,7380,1995,0,0,12,77,44,2
Jane Austen&#39;s seduction,7.7,7571,6420,1995,7,2,18,28,86,2
Restoration - time of sensuality,6.7,6716,7020,1995,0,2,12,52,39,3
Favorite of a queen,7.3,3228,6360,1939,0,0,3,16,58,3
Rumpelstiltskin,4.3,1494,5220,1995,0,0,9,2,40,2
Sabrina,6.2,25396,7620,1995,1,4,30,5,110,2
Screamers - Deadly Screams,6.4,17076,6480,1995,0,0,25,61,136,3
Night over India,7,1020,6180,1939,0,5,4,5,27,3
Chaos under the basket video,4.6,1353,5580,1995,0,0,7,3,13,3
Species,5.8,52435,6480,1995,3,5,59,157,133,3
Knight of the demons,6.7,14104,5520,1995,0,0,26,26,98,2
The wild twenties,7.9,7558,6360,1939,1,0,6,27,68,3
To Die For,6.8,30162,6360,1995,7,11,33,292,148,3
The affair of Rimbaud and Verlaine,6.5,8415,6660,1995,0,0,23,13,75,3
No problem,7.2,3116,6300,1995,1,0,3,0,5,1
Alert Level - Red 2,5.3,30925,6000,1995,0,0,28,22,117,2
The flip side of the coin,6.3,2180,5940,1995,0,0,14,23,31,2
Vampire in Brooklyn,4.4,14516,6000,1995,0,0,15,39,47,3
Venus Rising,3.3,377,5460,1995,0,0,5,0,6,1
Honeymoons,6.4,1094,6180,1995,0,0,0,0,2,1
The village of the damned,5.5,17745,5940,1995,0,0,28,144,109,3
Waiting to Exhale - Warten auf Mr. Right,5.5,6265,7440,1995,8,8,25,221,47,3
So close to the sky,6.6,20386,6120,1995,0,3,49,10,98,2
Welcome to the madhouse,7.5,22944,5280,1995,4,11,11,150,167,2
While you are sleeping,6.6,57834,6180,1995,2,4,46,150,177,3
The spy in black,7,865,4920,1939,1,0,4,3,11,2
Gulliver&#39;s Travel TV Movie,7,4598,11160,1996,6,15,18,220,28,3
TitanicTV Movie ,5.9,3225,10380,1996,0,1,7,8,72,3
101 Dalmatians,5.6,58103,6180,1996,4,4,70,13,62,2
Beautiful Girls,7.3,23551,6720,1996,1,3,45,215,169,3
Beavis &amp; Butthead do it in America,6.7,37166,4860,1996,1,4,53,20,143,3
I do not want to be a man,7,542,2700,1918,0,0,0,0,10,2
Topper goes on trips,6.7,606,5400,1938,0,0,0,0,17,3
The bed of roses,6,6032,5220,1996,0,0,42,24,45,2
Black Sheep - Black sheep with white vest,6.1,25006,5220,1996,0,0,22,30,81,1
Brassed Off - with timpani and trumpets,7.1,14318,6420,1996,10,6,32,86,127,3
Operation - Broken Arrow,5.9,67406,6480,1996,1,3,52,140,169,3
The Executioner of London,6.8,1006,5520,1939,0,0,3,0,36,2
Bulletproof - bulletproof,5.8,25225,5040,1996,0,0,27,26,55,3
Cannibal! The Musical,7.3,9109,5700,1993,0,0,11,0,139,3
The big basketball kidnapping,5.1,7584,5460,1996,0,0,24,6,28,2
Out of control,5.5,34722,6420,1996,0,0,45,37,88,3
The chamber,5.9,9199,6780,1996,0,0,27,14,41,2
The witch club,6.2,46458,6060,1996,1,2,46,95,187,3
The Crow: Revenge of the Crow,4.4,13031,5040,1996,0,0,27,47,158,3
Darkman III - The ExperimentVideo,4.7,2206,5220,1996,0,0,9,3,25,3
Daylight,5.8,43502,6840,1996,1,2,51,61,91,3
Doctor WhoTV Movie ,6.3,6007,5340,1996,1,1,9,62,107,3
Mission - Pipe free!,5.9,14444,5520,1996,0,0,19,10,72,1
Drive - No one beats harder,6.9,3736,6000,1997,1,0,12,29,104,3
Dunston - Alone in the hotel,5.2,8362,5280,1996,0,0,27,21,31,3
Jane Austens Emma,6.9,22430,7260,1996,2,4,32,5,136,3
The bandit,8.7,23085,7680,1996,2,0,0,0,27,3
Avoid,6.3,26125,8100,1996,10,28,87,256,189,3
lonely decision,6.4,35287,7980,1996,2,2,51,75,134,3
eye to eye,6.1,7852,6060,1996,0,0,7,52,69,3
Der Fan,5.8,33157,6960,1996,1,3,44,42,79,3
Fear - When love scares,6.1,26842,5820,1996,1,1,12,109,140,2
Feeling Minnesota,5.4,8133,5940,1996,0,0,32,19,53,3
Fire - When love catches fire,7.3,4139,6480,1996,7,1,10,67,55,2
Mr. President Junior,5,6315,6060,1996,0,0,18,19,11,2
The club of devils,6.1,26200,6180,1996,3,3,38,110,108,1
Stormy heights,7.8,10916,6240,1939,3,7,14,490,109,2
Flipper,5.1,6720,5700,1996,0,0,22,20,25,2
Freeway,6.9,20128,6600,1996,6,4,15,32,192,3
From Dusk Till Dawn,7.3,169389,6480,1996,4,8,43,965,550,3
The funeral,6.6,6159,5940,1996,2,6,20,22,46,2
Get on the Bus,6.8,3609,7200,1996,2,5,11,24,34,2
Ghatak: Lethal,7,1102,9480,1996,2,0,0,0,13,3
Girl 6,5,4568,6480,1996,0,0,9,17,34,2
Narration of the late chrysanthemums,7.8,1540,8520,1939,0,0,6,2,8,1
Glimmer Man,5.3,13212,5460,1996,0,0,24,16,73,3
Great white hype - A KOmödie,5.4,6663,5460,1996,0,0,8,3,26,2
On the field is hell losTV Movie,5.3,110,5580,1996,0,0,0,0,1,2
Happy Gilmore - A champ to fall in love with,7,118799,5520,1996,1,3,62,415,265,2
Head over water,6,5822,5520,1996,1,1,13,5,34,2
High School High,5.4,9534,5160,1996,0,0,26,5,33,3
house arrest,5.6,5698,6480,1996,0,0,24,34,27,2
Hype!,7.8,1532,5040,1996,1,2,4,0,10,3
Jack,5.7,37554,6780,1996,0,0,33,0,63,3
Jeet,5.2,859,10800,1996,0,0,0,0,9,3
The luck in the glass ball,7.7,2641,8460,1940,0,0,8,0,48,2
Joe&#39;s Apartment - The Big Crawling,5.3,9135,4800,1996,2,0,19,9,55,3
Not guilty,5.5,12213,7080,1996,1,1,37,24,57,2
Clouds pass by,7.7,4065,5760,1996,9,1,5,5,19,2
The prisoner of the mountains,7.7,3008,5940,1996,10,4,9,22,23,2
Kingpin - Two jerks on the bowling alley,6.9,53078,6780,1996,0,0,47,112,179,2
Haddock,7.8,10860,6300,1996,20,11,17,7,62,3
The big Vera,5.5,4570,5580,1996,0,0,43,110,28,2
Angels Over Broadway,6.7,538,4740,1940,0,0,8,0,12,3
Lilies - The feluettes,7.7,2014,5700,1996,8,14,11,0,40,3
Deadly Christmas,6.7,52052,7260,1996,0,0,69,216,274,3
Ma jiang,7.6,550,7260,1996,3,1,0,0,5,2
Marlon Brando: The Wild OneTV Movie ,7.6,65,3000,1996,0,0,0,0,0,2
Mars Attacks!,6.3,140693,6360,1996,2,14,41,5,387,2
Marvin&#39;s daughters,6.7,16326,5880,1996,5,10,20,54,66,1
Maximum Risk,5.3,13326,6060,1996,0,0,30,10,64,3
From the Cabinet des Dr. Caligari,8.1,29379,4680,1920,0,0,40,122,164,1
There Bank Detective,7.4,4648,4320,1940,1,0,12,14,41,1
Microcosm - The grassy people,7.9,8030,4800,1996,9,4,24,3,45,1
Four love you,5.9,21165,7020,1996,0,0,40,29,75,3
Muppets - Treasure Island,6.9,12737,5940,1996,0,0,33,84,54,3
Mystery Science Theater 3000: The Movie,7.5,13836,4380,1996,0,0,14,15,179,2
Silver nitrate,6.6,77,5220,1996,0,0,0,0,0,3
The daredevil,7.1,1841,7140,1940,0,0,11,28,31,3
The crazy professor,5.5,69957,5700,1996,8,9,35,278,93,3
Days like this...,6.4,31847,6480,1996,4,5,64,113,85,3
Pikunikku,7.4,1020,4320,1996,3,0,0,0,12,2
The promise,7.8,3858,5400,1996,16,5,8,26,24,1
Retroactive - Prisoners of the time,6.4,3576,5460,1997,6,4,15,4,49,3
Santa Claus with Muckis,2.3,7341,5820,1996,0,0,2,24,69,2
The perfect circle,8.1,1108,6600,1997,6,2,0,0,7,2
Scream - Scream!,7.2,179802,6180,1996,7,4,75,3250,824,3
Joseph Conrad&#39;s The Secret Agent,5.8,1698,5700,1996,0,0,7,21,28,2
Always trouble with Sergeant Bilko,5.6,15517,5580,1996,0,0,15,17,67,1
One for life,6.1,12178,5760,1996,0,0,29,10,92,3
Shine - The way to the light,7.7,37646,6300,1996,44,37,37,306,97,3
Sling Blade - On knife&#39;s edge,8.1,62233,8100,1996,14,9,30,218,294,1
A Door Will Open,7,11,660,1940,0,0,0,0,0,1
Mothers &amp; Sons,7.4,1876,6720,1996,4,0,18,9,23,2
Sometimes they come back 2Video,3.6,2275,5880,1996,0,0,9,0,29,1
Space Jam,6.1,80027,5280,1996,5,6,43,265,104,3
Special Effects: Anything Can Happen,6.9,167,2400,1996,0,0,0,0,1,2
Agent 00 - With the license to laugh,5.2,24376,4860,1996,0,0,18,55,74,2
Feeling and seduction,6.6,17132,7080,1996,1,11,42,27,84,2
Striptease,4.2,29602,6900,1996,6,2,55,115,104,3
Swingers,7.4,56034,5760,1996,3,3,37,461,242,2
That Thing You Do!,6.8,43358,6480,1996,3,4,51,4,204,3
land,7.4,2815,7500,1996,9,4,6,26,17,2
Fantasy,7.8,58340,7500,1940,6,1,57,235,163,3
Lies have long legs,6.3,20482,5820,1996,0,0,21,0,100,2
Thieves of the night,7,1487,7020,1996,3,6,8,10,9,3
When We Were Kings - Once we were kings,8,10646,5280,1996,6,3,34,84,53,3
Storm in the pastures,6.3,2142,5280,1996,2,0,14,45,26,3
Marx Brothers - Go West,6.9,3256,4800,1940,0,0,15,7,31,3
Four little girls,7.8,1847,6120,1997,6,7,8,0,32,2
Absolute Power,6.7,33034,7260,1997,0,0,64,66,136,3
Air Bud - Champion on 4 paws,5,10672,5880,1997,3,3,33,157,30,3
Air Force One,6.4,121586,7440,1997,7,9,98,47,385,3
American Werewolf in Paris,5.1,16805,6300,1997,3,1,30,36,152,3
Amistad - The slave ship,7.2,46523,9300,1997,7,26,66,285,207,3
Anaconda,4.5,59541,5340,1997,3,10,69,90,261,3
The model student,6.7,25557,6660,1998,5,5,39,114,245,2
Bent,7.3,5223,6300,1997,4,2,24,42,60,3
The Battle Sausage - Beverly Hills Ninja,5.4,25363,5280,1997,0,0,22,45,61,2
The heart of the queen,6.4,44,6720,1940,0,0,0,0,3,2
Blues Brothers 2000,4.8,21045,7380,1998,0,0,33,75,202,3
Border,7.8,3490,10560,1997,7,0,0,0,21,2
A case for the Borger,5.8,13934,5340,1997,1,3,43,178,32,3
Buffalo '66,7.5,31252,6600,1998,7,9,25,24,312,3
Bulworth,6.9,20092,6480,1998,1,14,34,104,221,3
The butcher lad,7.2,7139,6600,1997,10,8,9,30,63,2
The Chaos boss,2.3,4501,5520,1998,0,0,4,105,58,1
The Manson Family,5.4,2350,5700,2003,1,0,8,58,72,3
Living goals,6.6,8837,6240,1998,0,0,21,17,105,2
Fletchers Vision,6.7,60835,8100,1997,4,1,55,129,150,3
Cop Land,6.9,59050,6240,1997,1,0,43,146,187,3
Dangerous Beauty - The Courtesan of Venice,7.3,10800,6660,1998,0,0,15,10,112,3
Gangland - Cops under fire,6.7,4843,6120,1997,0,0,33,265,23,2
Dante's Peak,5.8,50945,6480,1997,4,0,51,75,238,3
Deep Rising,6,23190,5820,1998,0,0,22,62,256,3
Already seen,7,638,7020,1997,0,0,6,0,40,2
Trouble in the luggage,5.2,9526,6060,1997,0,0,51,13,97,3
Strange beings,6.5,4029,5940,1997,1,3,15,3,52,3
demon,7,47410,7440,1998,0,0,41,70,225,3
Wild creatures,6.3,16786,5580,1997,0,0,34,11,87,1
Flubber,4.9,44413,5580,1997,3,1,30,32,58,3
Free Willy 3 - The Rescue,4.4,5961,5160,1997,1,2,22,0,21,3
George - Who came from the jungle,5.4,46978,5520,1997,1,2,54,91,95,3
Switchback - merciless escape,6.4,8423,7080,1997,0,0,9,0,75,3
"The $ 100,000 fish",4.6,7223,5640,1997,0,0,20,27,74,2
Hamam - The Turkish bath,7,4471,5640,1997,10,5,14,5,41,2
the horse Whisperer,6.5,27942,10200,1998,4,16,49,155,255,3
The Man I Married,6.9,121,4620,1940,0,0,0,0,3,1
The House of Yes,6.7,5968,5100,1997,1,5,33,36,86,2
The ice storm,7.5,41647,6720,1997,5,23,34,271,273,1
In &amp; Out - Pink like love,6.3,28850,5400,1997,8,11,33,87,131,1
Iruvar,7.9,1644,8400,1997,4,0,0,0,17,1
Judwaa,5.8,2139,8280,1997,0,0,2,31,7,3
Knockin' on Heaven's Door,8,15879,5220,1997,8,3,6,10,34,3
Last battle on the Saber RiverTV Movie,6.9,788,5760,1997,2,0,5,5,14,3
How I committed suicide for the first time,5.9,1536,5520,1997,0,0,12,4,28,2
Leather Jacket Love Story,6,329,5100,1997,0,0,2,2,13,3
The stupid babbler,6.8,163856,5160,1997,4,5,59,191,231,3
Opium,6.3,29,6720,1919,0,0,0,0,2,0
Live rather unusual,6.4,27282,6180,1997,1,2,28,78,172,3
To the Promised Land,7.3,466,7200,1997,3,1,11,38,4,3
L.A. Without a Map,6.3,1705,6420,1998,0,0,3,2,13,3
Love! Strength! Compassion!,6.9,2474,6480,1997,0,0,17,0,50,3
Macbeth,4.8,161,7740,1997,0,0,6,2,15,1
Mad City,6.2,14713,6900,1997,0,0,45,11,63,2
In the twilight,6.2,7268,5640,1998,0,0,17,2,82,3
Night Train to Munich,7.3,2255,5700,1940,2,0,9,70,35,2
Metro - Negotiation is a matter of nerves,5.4,18159,7020,1997,0,0,18,0,43,3
Wretched,7.5,27971,8040,1998,0,0,51,16,189,3
Moe no suzaku,8.3,583,5700,1997,3,3,0,0,5,1
Mommy's Day,5.2,135,5280,1997,0,0,6,0,8,3
Mortal Kombat 2 - Annihilation,3.6,30442,5700,1997,0,0,31,54,247,3
Mountain section,6.3,35458,5580,1997,2,2,40,32,83,2
The scarlet riders,6.6,878,7560,1940,0,4,0,0,18,3
Mr. Magoo,3.8,10686,5220,1997,0,0,20,15,45,3
Mrs Dalloway,6.9,2309,5820,1997,2,1,13,20,32,2
The wedding of my best friend,6.3,80048,6300,1997,12,14,75,238,161,2
Freeze - nightmare night watch,6.2,14004,6060,1997,2,0,24,123,124,3
Nil by Mouth,7.4,6000,7680,1997,8,8,10,113,87,1
Nothing to lose,6.7,31472,5880,1997,1,0,32,48,86,3
Life is a chanson,7.3,2925,7200,1997,10,8,12,27,17,3
One Night in the Tropics,6.9,1095,4920,1940,0,0,9,0,18,2
Way out of hell,6.8,3699,7320,1997,1,4,10,18,46,3
Project: Peacemaker,5.9,41074,7440,1997,0,0,53,60,152,2
Phantoms,5.3,14006,5760,1998,0,0,20,40,163,3
The booked man,5.4,13195,6300,1997,0,0,15,41,61,3
Winnie the Pooh on a Great Journey - The Search for Christopher RobinVideo,6.9,2528,4560,1997,0,0,14,0,20,3
With all your might,6.7,21941,8580,1998,12,15,61,131,153,2
Romy and Michele,6.1,28957,5520,1997,0,0,41,28,159,1
Ruth Orkin: Frames of Life,6.5,13,1080,1996,1,0,0,0,1,2
The snake kiss,5.9,1196,6240,1997,0,0,14,3,21,1
Shooting Fish,6.6,6359,6540,1997,3,0,14,10,52,3
She loves him - she does not love him,6.8,46140,5940,1998,7,2,31,148,273,3
Star Force Soldier,5.9,39660,5940,1998,0,0,42,91,354,3
The invisible trap,7.3,17010,6600,1997,0,0,23,53,258,3
Spawn,5.2,45341,5760,1997,1,5,116,498,201,3
Steel - The steel hero,2.7,7384,5820,1997,0,0,6,65,56,3
Stars without brains,2.2,2184,4740,1997,0,0,3,0,10,1
Suicide Kings,7,20256,6360,1997,0,0,28,39,150,3
Sunday,7.1,550,5460,1997,7,2,6,0,14,2
Smoke Signals,7.2,7340,5340,1998,10,7,11,23,132,2
Even more stupid,5.7,4742,5880,1997,0,0,22,37,40,2
The shrill four in Las Vegas,5.9,25440,5580,1997,0,0,14,73,83,1
Virus - ship without return,4.8,19598,5940,1999,0,0,43,17,235,3
Volcano - Hotter than hell,5.4,48753,6240,1997,1,1,33,51,170,3
Waco: The Rules of Engagement,8.1,2350,8160,1997,6,0,4,8,30,2
Agent Null Null Nix,6.6,19668,5640,1997,0,0,27,28,95,3
Waterboy - The guy with the water damage,6,94330,5400,1998,5,6,35,150,293,2
The wings of the dove,7.1,7666,6120,1997,21,18,29,93,61,2
St. John took off,6.5,104,5340,1940,0,0,0,0,1,1
Zeus & Roxanne,5.1,1977,5880,1997,0,0,17,4,7,3
Conflict,5.5,679,10200,1997,0,0,0,0,3,2
All the Little Animals,7.1,2038,6720,1998,0,0,5,0,38,3
Armageddon - The Last Judgment,6.6,261661,9060,1998,12,27,108,1198,1144,3
Piggy babe in the big city,5.8,19758,5820,1998,1,10,60,66,210,3
human child,5.8,5566,10320,1998,3,20,88,157,206,3
Beowulf,3.9,8675,5700,1999,0,0,19,2,149,3
Blade,7.1,149951,7200,1998,4,7,93,1128,557,3
Deep Impact,6.1,116333,7200,1998,5,7,59,517,468,3
The house of the seven sins,7,727,5220,1940,0,0,14,0,13,3
The public enemy No. 1,7.3,158854,7920,1998,5,12,64,298,405,3
Everest - summit without mercy,7.2,2212,2640,1998,1,1,9,48,25,2
Godzilla,5.3,128433,8340,1998,8,8,87,811,731,3
side by side,6.6,37298,7440,1998,8,5,78,100,245,2
Strike - girl to power!,6.7,4977,5820,1998,0,0,18,0,59,1
Halloween H20 - 20 years later,5.6,40810,5160,1998,0,0,43,131,566,2
From Dusk Till Dawn 3: The Hangman's DaughterVideo ,4.8,7907,5640,1999,0,0,9,12,72,3
Hard Rain,5.8,23450,5820,1998,0,0,33,24,117,3
The master thief of Dublin,7.3,5880,7440,1998,15,8,7,29,49,3
Beyond the dreams,5.4,10029,6000,1999,1,0,24,87,139,3
